A32	Drapers
S309	IV Tubing Primary/Secondary: 70 Extension Sets; 140 Port Caps; 130 Lever Lock Cannula
S310	140 Infusion Sets & Extension Sets (20 Sterile)
S311	IV - Assorted
S312	IV Sets: Primary/Secondary x145; Secondary Cannula x80
S313	Infusion Sets (Primary & Secondary Extension Sets x160); Port Caps x150
S314	Central Venous Catheters: Assorted
S315	IV Tubing 2ml. Sets (Sterile)
S316	Needle Boxes (Unsterile) x150
S317	Expired Suture (22 boxes)
S318	Suture (70 boxes; 4 bags)
S319	Needle Boxes (Unsterile) x110
S320	Suture Removal Kits
S321	Needle Boxes x286
S322	Sutures
S323	Sutures (Expired)
S324	Needle Boxes (Unsterile)
S325	Needle Boxes (Unsterile)
S326	Sutures (expired)
T16	Defibrillator Pads
T33	Defibrillator and EKG Pads
T35	Bovie
T45	140 Unsterile Cautery; 18 Sterile Loop High Temp Cautery; 11 Sterile Cautery; 530 Empty Pill Bottles
T50	Skin Markers, Tape Measures
T54	Bovie Pens (Unsterile)
T55	Bovie Pens (Unsterile)
T56	11 Unsterile Bovie Cautery
T57	110 Unsterile Bovie Handpads; Cautery Supplies; 8 Sterile Bovie Pads
T58	Cautery Supplies (Unsterile)
T59	Skin Staplers (Unsterile, Open)
T61	Unsterile Bovie/Cautery
T62	Irrigation: Irrigation Trays (6); IV Pole Kit (19); Piston Syringes (104)
T63	Cautery Supplies: 55 Pencils; 4 Cords; 40 Tips; 32 Cleaners
T64	34 Irrigation Trays; 4 Irrigation Sponges; 6 Unsterile Trays
T65	Unsterile Skin Stapler
T66	Skin Markers, Pens, & Rulers
T67	Cautery Pencils x65 Unsterile; Pads x10 Sterile
T68	Skin Markers, Rulers, & Pens
T69	Laceration Kits
T69	??
T70	Skin Markers
T71	Cautery Supplies (Unsterile): Bovies; Tips; Etc.
T72	Cautery Supplies: Bovies; Tips; Etc.
T73	Irrigation Trays
T74	Trauma Pack (Sterile)
T75	Surgical Packs (Sterile): 1 GYN; 2 Arthroscopic
U20	Steri-Drapes S-L Long x82
U21	Lap Sponges (Unsterile)
U22	ENT Dressings
U23	Drapes (Sterile)
U24	Drapes (Sterile)
U25	Lap Sponges (Unsterile)
U26	Blue Quarter Drapes (Unsterile) x245
U27	Lg. Drapes (Unsterile )
U28	66 Small Drape Sheets (Unsterile)
U29	Drapes (Sterile): 30 X-Ray Covers; 3 Half Drapes; 28 Drapes; 45 Towel Drapes
U30	Lg. Drapes (Unsterile)
U31	OR Sheets, Gowns,  and Misc. Sterile Items
U32	36 OR Sheets (Sterile); 3 Extremity Drapes
U33	Large Drape Sheets (Unsterile) x20
U34	Large Drapes (Unsterile) x25
U35	Autoclave Wraps
U36	Sheets/Drapes Large x24; Head Drape x4 (Unsterile)
U37	Drape Sheets (Unsterile) x50
U38	Plastic Sheets/Table Covers (Unsterile)
U39	Autoclave Pouches x4000; Autoclave Wraps
U40	31 Lg. Drapes (Unsterile)
U41	Plastic Drapes/Covers (40)
U42	Large Drapes (Unsterile) x28
U43	55 Sheets (Unsterile, Paper)
U44	28 Drapes (Unsterile, Paper )
U45	Lg. Drapes (Unsterile)
U46	Sterile Packs: 1 Pediatric Minor; 4 Drape Packs
U47	Drapes OR Large
U48	Drapes (Unsterile, Paper): 60 70x100; 44x77
U49	Large Drapes (Unsterile)
U50	Sheets (Unsterile, Paper)
U52	42 Plastic Sheets (Unsterile)
U53	Autoclave Wraps x195; 1 Roll Tape (Unsterile)
U54	25 Lg. OR Drapes (Unsterile)
U55	50 Plastic Sheets (Unsterile)
U56	180 Autoclave Wraps (Unsterile)
U57	Lg. Drapes (Unsterile)
U59	Lg. OR Drapes (Unsterile)
U60	25 Lg Drapes (Unsterile)
U61	Lg. OR Drapes (Unsterile)
U62	OR Drapes (Sterile): 18 U-Drapes; 6 C-Section; 11 Shoulder Pouch
U65	28 Lg. Drapes (Unsterile)
U66	24 Drapes (Unsterile)
U67	110 Mayo Stand Covers (Unsterile)
U68	25 Lg. Paper Drapes (Unsterile)
U69	24 OR Drapes & Sheets (Paper, Unsterile)
U70	37 Tail Drapes (Unsterile)
U71	22 Large Drapes (Unsterile)
U72	105 Under Buttocks Drapes
U73	42 OR Paper Sheets
U74	Sheets/Drapes OR Lg. x32
U75	Autoclave Wraps x125; Pouches x200 (Unsterile)
U76	60 OR Sheets (Unsterile, Paper)
U77	24 OR Lg. Sheets/Drapes (Unsterile, Paper)
U78	Plastic Drapes (Unsterile)
U79	4 Surgical Packs Extermity
U81	26 Surgical Drapes (Unsterile)
U83	50 OR Paper Sheets (Unsterile)
U84	50 Under-Buttocks Drapes (Unsterile)
U86	Lg. OR Drapes (Unsterile)
U87	60 Plastic Sheets (Unsterile)
U88	Lap Sheets x20; Drapes x5 (Paper, Unsterile)
U89	Autoclave Wraps x130
U161	5 Sterile OR Packs (Shoulder)
U162	Drapes Small (Sterile); Towel Drapes x235
U163	Drapes (Unsterile) x75
U164	Sheets (Unsterile, Plastic) x40
U165	Lg. Drapes (Unsterile) x25
U166	Tail Drapes x28
U167	Autoclave Wraps x114
U168	Surgical Packs (Sterile): Thorasic x1; Vascular Minor x1
U169	Lg. Drapes (Unsterile) x35
U170	Lg. Drapes (Unsterile)
U171	Lg. Drapes (Unsterile) x25
U172	Lg. Drapes (Unsterile) x28
U173	Quarter Drapes x247
U174	Lg. Drapes (Unsterile)
U176	Mayo Stand Covers (Unsterile) x50
U177	Quarter Drapes (Sterile) x134
U178	Mayo Stand Covers (Unsterile) x65
U179	Mayo Stand Covers (Unsterile) x74
U180	Quarter Drapes (Sterile) x160
U181	Sheets (Plastic, Unsterile) x43
U182	Sheets (Paper, Unsterile) x62
U183	Lg. Drapes (Unsterile) x31
U184	Lg. Drapes (Unsterile) x25
U185	Autoclave Wraps
U186	Plastic Sheets (Unsterile) x54
U187	Lg. Drapes (Unsterile) x24
U189	Lg. Drapes (Unsterile) x24
U190	Autoclave Wraps
U191	Sheets (Unsterile, Paper) x59
U192	Sheets (Unsterile, Plastic) x46
U193	Sheets (Unsterile, Paper) x73
U194	Lg. Drapes (Unsterile, Paper) x30
U195	Lg. Drapes (Unsterile, Paper) x24
U196	Lg. Drapes (Unsterile, Paper) x30
U197	Lg. Drapes (Unsterile, Paper) x30
U198	Lg. Drapes (Unsterile, Paper) x24
U199	Lg. Drapes (Unsterile, Paper) x34
U200	Lg. Drapes (Unsterile, Paper) x30
U201	Lg. Drapes (Unsterile, Paper) x24
U202	Lg. Drapes (Unsterile, Paper) x32
U203	Autoclave Wraps: 3 Packs of 12
U204	Autoclave Wraps: 3 Packs of 12
U205	Autoclave Wraps: 3 Packs of 12
U206	Autoclave Wraps: 2 Packs of 12
U207	Autoclave Wraps: 3 Packs of 12
U208	???
U209	Autoclave Wraps: 3 Packs of 12
U210	Lg. Drapes (Unsterile, Paper) x29
U211	Surgical Pack: 1 Plastic Torso Pack
U212	Surgical Pack: 1 Plastic Free Flap Pack - Pack B
U213	Surgical Pack: 1 Lap. Prostatectomy Davinci
U214	Blue Quarter Drapes
U215	Mayo Stand Covers (Unsterile) x62
U216	Mayo Stand Covers (Unsterile) x90
U217	Lg. Drapes (Unsterile, Paper) x31
U218	Plastic Sheets (Unsterile) x66
U219	Lg. Drapes (Unsterile, Paper) x29
U220	Surgical Drapes x21
U221	Surgical Drapes x18
U222	Sheets (unsterile, paper) x 51
U223	Drapes (unsterile, large) x 27
V51	46 Shrouds
V53	Magnetic Instrument Pads x40
V54	Magnetic Instrument Pads x20
V57	1800 Raytex (Unsterile)
V58	Lap Sponges (Unsterile)
V59	850 Small Towels (Paper)
V60	Raytex x121 Packs of 10
V63	Lap Sponges
V67	Towels (Cloth, Unsterile) x104
V68	Raytex (Unsterile)
V69	Lap Sponges (Unsterile)
V70	Towels (Unsterile)
V71	Lap Sponges (Unsterile)
V72	Towels (Cloth, Unsterile) x115
V73	Towels (Cloth, Unsterile) x115
W110	White Lab Coats; 80 Scrub Tops
W111	120 Scrub Tops
W112	100 Disposable Lab Coats
W113	18 XL Blue Gowns; 42 Yellow Insulation Gowns
W114	Assorted Basins, Bowls, Pitchers
W115	30 Scrub Tops
W116	Sterilization Supplies
W117	Sterilization Supplies
W118	Paper Exam Table Covers
W119	23 Scrub Tops; 15 Scrub Bottoms
W120	17 Plastic Pitchers
W122	Sterilization Wraps, Tape
W124	White Lab Coats
W124	White Lab Coats; 6 Boxes Unsterile Vinyl Gloves
W125	Lab Coats
W126	Lab Coats
W127	Sheets x50
W128	9 White Cloth Lab Coats
W129	Bedding Linens
W130	Bed Pillows
W133	Scrubs Tops x50; Scrub Bottoms x50
W134	Scrubs Tops x50; Scrub Bottoms x50
W136	Patient Gowns: 10 Packs
W136	Sterile Towels (4 Boxes of 50 18"x26")
W137	150 Sterile Towels 18"x26" Fenestrated x2.75"
W138	Sterile Towels (4 Boxes of 50 18"x26")
W139	Sterile Towels (4 Boxes of 50 18"x26")
W140	Skin Prep (Unsterile): Assorted
W141	Skin Prep (Sterile): Misc.
W142	OR Misc. Supplies: Sterile Towel Drapes, Marking Pens, Suction Tubing, etc.
W144	Foam Sponges
W145	Magnetic Instrument Pads (Unsterile) x20
W146	Misc. Sterile OR Supplies: Set Up Packs (12); Suction Tubing (7); Cassette Drapes (15); Bag Decanter (6); 60 ml. Syringe (3); Marking Pens (40); Needle Boxes (5); Yankauer (20); Cautery (18)
W147	Steri-Drapes/Ioban (100) Sterile
W148	Surgical Packs (Sterile): 1 Laparoscopy, 1 Fem. Pop.
W149	OR Packs Fem/Pop Pack (Sterile); EMT Resuscitation Packs
W151	OR Packs: 5 Hip Drape Pouches; 3 Shoulder Drape Packs; 6 Sterile Gowns
W154	1 Sterile OR Universal Pack; 18 Leggings; 4 Gowns; 10 Bulb Syringes; 6 Suction Tubing; 15 Raytex; 3 Needle Box Tips
W156	Skin Prep (Sterile)
W160	??
W161	Skin Prep Unsterile & Expired Sterile
W162	OR Sterile Supplies: Suction Tubing, Marking Pens, Towel Drapes, Roll Gauze, etc.
W163	Foam Sponges
W165	23 Magnetic Instrument Pads
W166	OR Supplies: Yankauers, Suction Tubing, Bowls, etc.
W167	Foam Sponges
W168	Misc. OR Supplies (Sterile): Marking Pens x32; Towel Drapes x150; Suction Tubing x30; Stockinettes (4x48) x11
W169	Misc. OR Supplies (Sterile)
W170	Sterile Surgical Packs: Plastic Flap Cyst.
W171	Skin Prep: Prep Trays x3; Shaver & Blades; Sterile Skin Prep x118; Unsterile x163
W172	Surgical Patties and Tonsil Ball Sponges
W173	86 Impervious Stockinettes
W174	Magnetic Instrument Pads (Unsterile)
W175	Foam Immobilizers
W176	Magnetic Instrument Pads (Unsterile) x30
W177	OR suction tubing (sterile)
X17	Anesthesia Circuits, Mask CO2 Filters
X22	Anesthesia Mask
X37	Anesthesia Circuits/Masks
X53	Anesthesia Breathing Circuits & Masks
X64	Anesthesia Mask
X70	Anesthesia Mix
X73	Anesthesia Circuits & Masks
X74	Anesthesia Mix & Breathing Circuits
X77	Anesthesia Mix
X78	Adult Masks, Anesthesia Tubing, Breathing System Filter
X80	Anesthesia Mix
X81	Anesthesia Mix, O2 Sensors, Circuit Extension Tubes
X82	Anesthesia Mix: Humidivents (103), Spinal Trays (3), Head Rests (6)
X83	Anesthesia Mix
X84	Anesthesia Mix
X88	Ventilation Circuits & Masks
X95	50 Disposable Tourniquet Cuffs
X96	Anesthesia Mix
X97	Short, Med., Long Tubes; Male Connectors; 49 Med. Tubes, 8 Short Tubes; 7 Male-Male Connectors; 2 Suction Tips; 3 Y-Connectors; 9 Suction Toothbrushes
X101	Ventilator Tubing x15
X103	Needle Boxes
X104	14 ea. 7" Headrest Pillows w/ Intubation Slot
X106	Sutures (Expired) 81, plus loose
X111	Anesthesia Mix x12
X112	30 ea. Adult Breathing Circuits
X113	Anesthesia Tubing x34
X114	Needle Boxes
X115	Anesthesia Tubing x34
X116	Pediatric Anesthesia Tubing x41
X117	Ventilator Tubing
X118	Ventilator Tubing
X119	Needle Boxes: Sterile x110, Unsterile x80
X120	Breathing Circuits (22mm) x12
X121	Disposable Bi-Level Circuit w/ Filter x23
X122	Universal Single Limb Ventilator Circuit x7; Airlife Universal Portable Volume Ventilator Circuit x7; Universal Ventilator Circuit x16
X123	Universal Non-Invasive Ventilator Circuit x21
X125	Universal Ventilator Circuit x6; Disposable Heated Wire Non-Invasive Ventilator Circuit x7; Single Limb Heated Wire Ventilator Circuit x3
X126	Disposable Bi-Level Circuit w/ Filter x23
X127	Disposable Bi-Level Circuit w/ Filter x25
X128	Anesthesia Mask Circuit x14
X129	Universal Neonatal Ventilator Circuit x22; Breathing Circuit 10mm x1
X130	Universal Ventilator Circuit x16
X131	4 Anesthesia Pillows; 4 Anesthesia Breathing Circuit Tubing; 216 Spoz Sonior Wraps
X132	12 OSMO Free Maintainance Water Removal Kits & Breathing Circuit
X133	Disposable Bi-Level Circuit w/ Filter
X134	Anesthesia Podiatary Cath Sets; Arterial Sampling Kits; BP Pads; etc.
X135	Anesthesia Head Rest Pillows x4; Adult Breathing Circuit x5; Trach Tabs x10
X136	Anesthesia Headrest Pillows x7; Adult Breathing Circuits x6; Masks x8; 2 Bags
X137	Anesthesia Headrest Pillows x16
X138	Anesthesia Headrest Pillows x16
X139	Anesthesia Headrest Pillows x12
X140	Plastics: 19 Lg. Basins; 59 Sm. Basins; 23 Emesis Basins; 16 Graduates; 2 Funnels
X143	Other Plastics: Lg. Round Basins (20); Emesis Basins (25); Rectangle Basins (4); Round Blue Bowls (14); Pitchers (2); Trays (101)
X144	Other Plastics: Lg. Round Basins (14); Rectangle Basins (10); Graduates (3); Emesis Basins (7); Bowls (8); Pitcher (1); Trays (47)
X145	Assorted Plastics: Emesis Basins (7); Bath Basins (17); Liter Urine Measurers (7); Sm. Plastic Trays (150); Spray Bottle Heads (12); Measure Pitchers (6); Sm. Bowls (12)
X146	Plastics: Lg. & Sm. Bowls, etc.
X147	Plastics: Trays, Sm. Bowls, Emisis Basins, etc.
X148	Empty Pill Bottles
X149	Blue Basins (28); Sm. Round (25); Kidney (27); Other (36)
X150	40 Plastic Water Pitchers
X151	Plastics: Water Bottles, Pitchers, Basins, etc. -- All Sizes
X152	Pill Bottles
X153	Plastics: 40 Trays; 18 Bowls; 7 Emesis; 3 Graduates
X154	Plastics: 30 Trays; 38 Bowls; 10 Emesis; 3 Graduates
X155	Plastics: Bowls, Pitchers, Trays
X156	Plastics: 48 Lg. Basins; 16 Trays
X157	Plastics: Lg. Basins; K-Basins; Sm. Basins, etc.
X158	Plastics: 18 Lg. Basins; 11 K-Basins; 32 Sm. Square Trays; 33 Lg. Trays; Measuring Cups
X159	Plastics: Basins (39); Trays (8); Pitchers (27)
X160	Plastics: Lg. Trays; Lg. Round Basins; K-Basins
X161	Plastics: Trays, Emesis Basins, etc.
X162	Plastics: Basins, Pitchers, etc.
X163	White Paper Towels
X164	Other Plastics: 32 Emesis; 18 Sm. Plastic Bowls; 7 Measuring Cups; 35 Lg. Basins
X165	Plastics: Blue Basins; Pitchers; Emesis Basins
X166	Plastics: Basins; Bowls; Etc.
X167	Plastics: Basins; Bowls; Etc.
X168	Plastics: 22 Lg. Round Bowls; 7 Lg. Sq. Basins; 8 Trays; 1 Graduated; 95 Emesis; 21 Round Bowls
X169	Plastics: 19 Lg. Round Bowls; 8 Lg. Sq. Basins; 11 Trays; 24 Sm. Sq. Bowls; 6 Pitchers; 48 Emesis
X170	Plastics: 14 Trays; 26 Lg. Round Basins; 16 Lg. Sq. Basins; 61 Emesis; 20 Sm. Bowls; 1 Lg. Pitcher; 6 Sm. Pitchers
X171	Plastics: 26 Trays; 31 Lg. Round Basins; 6 Pitchers; 10 Bowls; 35 Emesis; 6 Graduates
X172	Plastics: 17 Trays; 26 Lg. Round Basins; 91 Emesis; 38 Sm. Bowls; 13 Lg. Rect. Basins
X173	Plastics: 11 trays; 46 Lg. Round Basins; 11 Graduates; 4 Pitchers; 72 Emesis; 7 Wash Basins; 7 Sm. Bowls
Y84	Dialysis Supplies
Y85	Dialysis Tubing, 20 Kits, & Misc.
Y88	Dialysis Needles 1000 Ea.
Y90	Dialysis Trays x9, Tubing x57, Misc.
Y92	21 Staple Removal Kits; 390 Suture Removal Kits
Z91	2 CPAP
Z94	Shoulder Suspension Set x38
Z95	Casting Supplies
Z96	Casting Supplies
Z97	CPAP x31
Z98	CPAP Masks: 2 sm.; 24 med.; 2 lg.
Z99	CPAP Masks: 4 misc.; 9 lg.; 20 med.
Z100	Unsterile Synthetic Cast Padding (2"x44; 3"x57; 4"x49); Sterile Cotton Undercast Padding (4"x29)
Z102	Tan Stockinettes
Z105	Ultrasound Gel x48 bottles
Z106	Ultrasound Gel x48 bottles
Z107	6" Cotton-Tipped Applicators (Sterile) x6 Boxes of 1000
Z107	Hot/Cold Packs: Ice Bags (57); Reusable Hot/Cold Packs (14); Disposable Hot Packs (42); Disposable Cold Packs (4)
Z108	Cotton-Tipped Applicators (Sterile)
Z109	8 Spill Kits
Z112	Povidone-Iodine: 38 Sponges; 5 Sponge Sticks (Lg. Packs)
Z113	Q-Tips (Sterile)
Z114	Assorted Rolls Tape
Z115	Povidone-Iodine (20 Lg. Sponges; 29 Lg. Sticks)
Z116	Cotton-Tipped Applicators (Unsterile)
Z117	Q-Tips (Sterile)
Z118	Tape
Z119	Tourniquets
Z120	Q-Tips and Cotton-Tipped Applicators
Z121	Q-Tips and Cotton-Tipped Applicators
Z122	Spill Kits
Z123	Lubricating Gel
Z124	Medical Tape: Assorted
Z125	Medical Tape: Assorted
Y80	3cc. Syringes x700
Y103	3cc. Syringes x1200
Y111	1-3cc. Syringes x1453
Y115	1-3cc. Syringes x1200
Y141	Unsterile Syringes x1200
Y148	1cc. Syringes: Safety Glide 27G
Y149	20cc. Syringes
Y153	1-3cc. Syringes
Y193	Unsterile Syringes
Y195	3 cc. Syringes
Y217	10cc. Syringes x800
Y218	10cc. Syringes (Sterile): 426 Luer-Lok; 160 Slip Tip; 75 Luer-Lok w/ Blunt Plastic Cannula; 13 w/o Needle; 10 21Gx1; 2 20Gx1 1/2; 32 20Gx1; 2 Control Syringes
Y222	Unsterile Syringes (Assorted Sizes)
Y223	Dosing Syringes x400
Y224	Approx. 400 20 & 60cc. Dosing Syringes
Y225	Syringes: 220 60cc.; 30 20-30cc.
Y226	Oral Dressing Syringes
Y227	Syringes (Sterile): 1000 3cc. w/o Needles
Y228	1-3cc. Syringes
Y229	900 Unsterile Syringes (Assorted Sizes)
Y230	20-60cc. Sterile Irrigation Syringes
Y233	10cc. Syringes: 580 Luer-Lok; 288 w/ 1-1/2" Needle; 30 Control Syringes
Y235	60cc. Syringes (Sterile): 180 w/ Catheter Tip
Y236	60cc. Syringes (Sterile): 180 w/ Catheter Tip
Y237	20-60cc. Syringes (Sterile)
Y238	20-60cc. Syringes
Y240	10cc. Syringes (Sterile)
Y241	Various Syringes
Y242	12cc. Syringes x320
Y244	Syringes (Unsterile): Assorted Sizes
Y246	Sterile 20-60cc. Syringes: 20cc. x193; 30cc. x65; 60cc. x84
Y247	Sterile 10cc. Luer-Lok Syringes x800
Y248	60cc. Syringes (Unsterile) x375
Y250	10-12cc. Syringes (Sterile)
Y251	20-60cc. Syringes (Sterile)
Y252	Sterile 1cc. Syringes
Y253	3cc. Sterile Syringes
Y254	1cc. Tuberculin Slip-Tip Syringes x2370
Y255	Sterile Syringes 3cc. w/ 23Gx1" Needle x800
Y256	Sterile 5-6cc. Syringes
Y62	Syringes 20-60 cc.
Y64	Syringes 1-3 cc.
Y83	30 Injection Trays
Y89	Insulin Syringes, Insulin Slip Tip, 1 cc Slip Tip Syringes
Y80	Covers (Plastic)
Y106	??
Y128	Flat Sheets ripped
Y132	Cysto/Basic Packs
Y156	Back Table Cover (Big Case)
Y181	Raytex (Unsterile)
Y198	Urometers
Y285	Sponges Unsterile
Y295	Sterile Drapes
Y298	Drapes (Unsterile)
Y299	Medium Sterile Drapes
Y303	Sterile Drapes
Y305	Ortho Pack x8
Y306	Raytex (Unsterile)
Y309	Surgical Drapes (Sterile)
Y312	Sterile Drapes
Y314	Foam Sponges
Y316	Flap Pack
Y317	Surgical Drapes x30 (Sterile)
Y318	Skin Prep
Y319	Drapes (Sterile) x31
Y320	Surgical Packs: 1 Lap., 1 Assessory, 1 Prostate
Y321	Surgical Packs: 2 Major
Y322	Surgical Packs: 1 Major Vaginal, 1 Dental
Y323	Surgical Pack: Major GYN
Y324	Surgical Pack: 1 Extreme
Y325	Surgical Packs: 1 Extreme, 1 General Lap.
Y329	Liver Transplant Packs x2
Y330	Surgical Packs: Gen. Form x1; Bowel x1; UofR GYN AB Kit x1
Y331	Plastic Free Flap x1
Y332	Plastic Free Flap x1
Y333	Plastic Free Flap x1
Y334	Arm Pillow x1; Vein Pack x1, Universal Pack
Y335	Hip Pack x1
Y336	UofR Major GYN AB Kit x1
Y337	Chest (Heart) Pack x1
Y338	Major x1; Lap. Drapes x8
Y339	Foam Sponges
Y340	Unsterile Raytex
Y341	Sterile Surgical Drapes
Y343	Dry Skin Prep Trays
Y344	Skin Prep (Sterile): Assorted
Y345	Sterile Surgical Drapes x32
Y346	ChloraPrep w/ Tint 26 ml.
Y31	Towels (Blue & White Paper)
Y33	Drapes (Unsterile)
Y45	78 Lap Pads
Y48	Cloth Towels (Unsterile)
Y48	Lap Sponges (Sterile)
Y50	Quarter Drapes: sm. x250; lg. x72
Y51	Sterile Quarter Drapes
Y53	Tail Drapes (Plastic) x30
